"","AINU","ANDAMAN","ANYANG","ARIKARA","ATAYAL","AUSTRALI","BERG","BURIAT","BUSHMAN","DOGON","EASTER I","EGYPT","ESKIMO","GUAM","HAINAN","MOKAPU","MORIORI","N JAPAN","N MAORI","NORSE","PERU","PHILLIPI","S JAPAN","S MAORI","SANTA CR","TASMANIA","TEITA","TOLAI","ZALAVAR","ZULU"
"EASTER I",4.05475951006342,11.8407468185015,5.8277752490681,6.11808036040367,8.25662762896051,6.20464124775927,8.21995516283046,9.76412068768873,10.9038161729263,9.69176115395097,0,9.13656615741169,6.73706279244795,4.60018636018799,7.17565449331065,3.4263803538095,4.95351047119542,6.19490657693661,3.25936461609736,8.0667614809205,9.8635543088007,6.04705877291446,6.19639520098486,4.57848728701535,7.97943961586851,6.32127822094255,8.45602766516138,5.68263289604961,6.72755464600302,5.62782818475403
"EGYPT",7.46827407844504,7.10826930984904,9.31240676148774,7.32423456099704,7.19113361489245,7.98095862321805,5.77197363133641,9.61756679365241,8.90422560111842,5.25687991303789,9.13656615741169,0,8.55551048811082,8.52677160430389,7.22295814661417,8.4781653668014,8.26904561382612,7.77969985848686,9.38033116753972,2.97031843588501,6.41532440091161,7.68260889443199,7.21517341642291,10.2058437787536,7.09342442636938,7.09886581997494,5.76986776295176,8.27018920285536,5.30641105314405,6.74546308244937
"ESKIMO",6.67081557304741,11.7959169785554,7.17492019957928,7.28946114840601,8.94258458162929,8.35501740766599,9.237315137908,6.0243649647171,11.5433872105799,8.54847819310983,6.73706279244795,8.55551048811082,0,6.68422690396468,7.95812795702796,6.08745951618271,7.20875311639026,7.15120574924272,6.85583329677044,7.05605238404049,10.0906706821912,7.48672729476976,7.31471574274337,7.23365951068162,8.71593693513677,8.5871269720794,7.62113462874543,7.93515460218347,8.48705157471644,8.0138317158443
"GUAM",2.2481466999086,10.5908180966244,1.72912525352865,4.49613144406169,6.04811399261015,6.88515707827429,6.183780674244,7.03382532935204,10.2133683680424,8.23445828050879,4.60018636018799,8.52677160430389,6.68422690396468,0,4.1440116769398,2.2780339156195,4.66974015389571,3.15833059947156,4.52957168195856,7.40109426626695,7.81528711297378,2.46611046659932,3.79661377021508,4.35564940169351,6.3667954851797,6.37359201337048,8.27838242109227,5.98440355658742,5.44200921541219,4.61456751301129
"HAINAN",4.34978871638387,6.90615147509687,3.9606174150067,4.96351892161346,2.63031139576175,7.26080956120575,5.15657840840111,8.14659917952018,7.81814550520416,5.87990298586416,7.17565449331065,7.22295814661417,7.95812795702796,4.1440116769398,0,4.56178578283091,6.31884611877726,2.2375904425798,7.37123669053848,7.23033970781502,4.88325985344709,2.34342301642439,1.78160871393021,7.72973039113982,4.9935848523688,5.90461417176934,7.376028366198,5.90162202463124,4.84799650581246,4.39296155724582
"MOKAPU",2.78321270851514,10.4260048508806,3.10759124027149,4.36793156976037,6.29982713239512,6.59017953696264,6.85970159720241,7.98436324099972,10.2939370371346,8.5352751495556,3.4263803538095,8.4781653668014,6.08745951618271,2.2780339156195,4.56178578283091,0,3.68851761113578,3.35945278485879,3.39416778306436,7.56024512107146,7.7647327315514,3.59044104952935,3.73712698769348,3.96718003989372,6.17225760671266,6.08218564709344,8.41445530961907,5.29426931261584,5.69154428447701,5.05957346555456
"MORIORI",4.52130766255916,11.0575087191552,5.83555563988722,3.05190768326242,8.02671369689439,6.24774937997678,6.89285593129249,8.50311840578002,11.3328418950739,9.45629083619944,4.95351047119542,8.26904561382612,7.20875311639026,4.66974015389571,6.31884611877726,3.68851761113578,0,5.23842977895531,2.98742635931335,7.1483867985952,7.92049123784012,5.33216752620348,5.83305516286289,3.37254153106375,5.39701939752235,6.21856241632525,9.02201726358325,5.75749571699269,6.0394684702229,6.16520978056223
"N JAPAN",3.22275543332454,8.42751978632011,2.99128485400769,4.43836340135341,3.86190984891513,6.89051474791217,5.18443585507532,7.24870985849555,8.23299539159356,7.06233837175647,6.19490657693661,7.77969985848686,7.15120574924272,3.15833059947156,2.2375904425798,3.35945278485879,5.23842977895531,0,5.90865038908587,7.13999921955427,5.37416096599414,2.42251723497785,1.53396533961056,6.16483196685044,4.50538521967929,5.95278030579588,7.8530736902706,5.91613403303981,4.72401921181424,4.35893384193289
"N MAORI",4.04727024626285,12.526024917393,5.68984218096304,4.83857404482537,8.81190915562721,6.21309476262033,7.76936470254838,8.76898055874046,11.8880855003674,10.5134976046095,3.25936461609736,9.38033116753972,6.85583329677044,4.52957168195856,7.37123669053848,3.39416778306436,2.98742635931335,5.90865038908587,0,7.83095829168997,9.24739319719638,5.96587360980686,6.54309012765885,2.187007592611,6.81619572432965,6.53634856246601,9.635485029957,6.03006875707286,6.50932059169563,6.48530851552627
"NORSE",6.14754058661616,8.8843781994658,8.32769838607837,6.17993576156003,7.50004750801408,6.76481434033727,5.10574361207397,7.50980130740363,9.26228809251477,6.04902406697438,8.0667614809205,2.97031843588501,7.05605238404049,7.40109426626695,7.23033970781502,7.56024512107146,7.1483867985952,7.13999921955427,7.83095829168997,0,6.79250419920368,6.97948244834844,7.06772815000082,8.4911091416986,6.33173075373371,6.54161185480368,5.59077955290123,7.72442661760643,4.72318966063397,6.19132647507974
